State,Zip,Zip3,Weeks Since First Purchase,Weeks Since Last Purchase,Book Purchase ($),Nonbook Purchase($),Total Purchase ($),No. of Purchases,No. of Childbook Purchases,No. of Youthbook Purchases,No. of Cookbook Purchases,No. of Do It Purchases,No. of Referncebook Purchases,No. of Artbook Purchases,No. of Geographybook Purchases,Response,
CT,6906,69,21,1,119,320,439,10,3,0,3,0,1,1,2,No,Chosen
PA,18972,189,33,1,116,308,424,10,1,1,2,2,2,0,2,No,Chosen
NY,10980,109,47,1,109,310,419,10,3,1,3,0,1,1,1,Yes,Chosen
MD,21012,210,47,1,112,306,418,10,3,1,2,1,0,1,2,No,Chosen
NJ,7726,77,23,1,114,301,415,10,5,0,3,1,0,0,1,No,Chosen
MD,21208,212,37,1,121,289,410,10,0,3,2,0,1,1,3,Yes,Chosen
PA,19403,194,39,1,110,296,406,10,1,0,5,2,1,1,0,No,Chosen
MA,2194,21,33,1,109,294,403,10,4,0,4,1,0,0,1,No,Chosen
NJ,7930,79,29,1,115,286,401,10,2,1,2,2,0,1,2,No,Chosen
CT,6854,68,45,1,109,280,389,10,2,1,3,2,0,1,1,No,Chosen
NY,10980,109,25,1,118,269,387,10,4,0,3,1,1,0,1,No,Chosen
NJ,7850,78,23,1,114,272,386,10,0,1,5,3,1,0,0,No,Chosen
DC,20016,200,55,1,112,266,378,10,3,1,1,1,2,1,1,Yes,Chosen
NY,11803,118,57,1,114,263,377,10,0,2,4,0,2,1,1,No,Chosen
NJ,7001,70,47,1,119,256,375,10,4,1,0,1,0,3,1,Yes,Chosen
NY,12020,120,55,1,109,265,374,10,4,2,2,1,0,0,1,No,Chosen
PA,18360,183,25,1,107,261,368,10,4,2,3,0,0,1,0,No,Chosen
PA,15701,157,21,1,113,247,360,10,2,1,1,3,0,1,2,Yes,Chosen
MA,2171,21,41,1,115,245,360,10,1,1,2,1,1,3,1,Yes,Chosen
CT,6238,62,59,1,109,245,354,10,2,2,2,1,2,1,0,No,Chosen
NJ,7047,70,59,1,109,242,351,10,3,1,1,2,2,1,0,No,Chosen
DE,19720,197,51,1,115,231,346,10,2,2,2,0,0,2,2,No,Chosen
MA,1880,18,45,1,109,233,342,10,4,1,2,0,0,1,2,Yes,Chosen
NJ,7631,76,37,1,115,222,337,10,3,0,3,2,0,1,1,No,Chosen
NJ,7108,71,23,1,129,207,336,10,3,0,0,0,0,2,5,Yes,Chosen
MA,1821,18,47,1,110,216,326,10,1,1,6,1,1,0,0,No,Chosen
PA,19064,190,51,1,122,201,323,10,1,0,3,1,1,1,3,No,Chosen
NY,11756,117,29,1,111,211,322,10,1,1,3,2,2,1,0,No,Chosen
NJ,7901,79,33,1,116,202,318,10,2,1,3,0,0,1,3,No,Chosen
NY,12205,122,59,1,117,196,313,10,4,0,4,0,0,2,0,No,Chosen
MD,21044,210,23,1,115,198,313,10,4,0,4,1,0,1,0,No,Chosen
MA,1606,16,43,1,120,192,312,10,1,1,1,3,0,1,3,Yes,Chosen
MD,21228,212,51,1,111,198,309,10,2,1,3,1,0,2,1,No,Chosen
RI,2863,28,39,1,115,188,303,10,3,3,1,0,0,1,2,Yes,Chosen
NY,12019,120,35,1,117,184,301,10,1,1,3,1,0,2,2,Yes,Chosen
PA,19082,190,27,1,125,164,289,10,0,0,1,2,2,3,2,Yes,Chosen
NJ,8859,88,51,1,112,174,286,10,2,0,3,2,1,1,1,No,Chosen
NY,14068,140,37,1,115,167,282,10,3,0,2,1,1,1,2,Yes,Chosen
NY,10033,100,37,1,110,171,281,10,3,2,1,1,1,0,2,No,Chosen
NJ,8003,80,27,1,119,159,278,10,1,0,6,0,0,3,0,No,Chosen
MD,20854,208,53,1,113,162,275,10,2,2,1,1,0,0,4,No,Chosen
NY,11414,114,39,1,123,151,274,10,4,1,0,0,1,1,3,No,Chosen
PA,19428,194,49,1,120,149,269,10,4,0,1,1,1,1,2,Yes,Chosen
NY,10530,105,57,1,101,165,266,10,3,4,1,0,1,1,0,No,Chosen
PA,18426,184,59,1,118,146,264,10,3,0,0,3,2,2,0,No,Chosen
PA,18966,189,43,1,112,146,258,10,2,3,2,0,0,0,3,No,Chosen
NJ,7076,70,49,1,114,143,257,10,1,3,1,3,1,0,1,No,Chosen
NY,10465,104,57,1,125,129,254,10,0,0,4,2,1,1,2,No,Chosen
PA,17013,170,31,1,112,136,248,10,3,0,2,2,0,3,0,No,Chosen
PA,19086,190,49,1,114,134,248,10,4,2,0,1,1,1,1,No,Chosen
PA,19114,191,31,1,117,129,246,10,0,1,2,2,3,1,1,No,Chosen
PA,19152,191,57,1,112,128,240,10,2,3,0,2,0,1,2,No,Chosen
NJ,8755,87,39,1,117,121,238,10,1,0,4,1,1,1,2,No,Chosen
NY,11209,112,55,1,114,122,236,10,4,0,3,1,0,1,1,No,Chosen
NJ,7726,77,41,1,109,127,236,10,2,2,3,0,0,2,1,Yes,Chosen
MD,20628,206,57,1,113,122,235,10,2,1,2,0,1,1,3,No,Chosen
NY,11787,117,25,1,113,121,234,10,2,1,1,3,0,1,2,No,Chosen
NY,11211,112,47,1,115,116,231,10,1,2,3,0,0,2,2,Yes,Chosen
PA,16602,166,51,1,99,126,225,10,7,1,2,0,0,0,0,No,Chosen
NY,11545,115,39,1,114,109,223,10,2,2,1,0,1,0,4,No,Chosen
NY,11961,119,33,1,113,103,216,10,5,0,1,2,0,1,1,No,Chosen
PA,18840,188,53,1,115,100,215,10,4,3,1,0,0,2,0,No,Chosen
NJ,8310,83,59,1,113,96,209,10,3,2,1,1,0,0,3,Yes,Chosen
DC,20016,200,39,1,118,88,206,10,0,1,2,4,2,1,0,No,Chosen
MA,2167,21,57,1,109,93,202,10,3,1,2,1,1,2,0,Yes,Chosen
NY,11565,115,49,1,117,84,201,10,1,1,1,2,2,2,1,No,Chosen
NY,12203,122,31,1,114,86,200,10,2,1,4,0,1,1,1,No,Chosen
PA,18966,189,41,1,113,84,197,10,0,2,5,1,2,0,0,No,Chosen
MA,1905,19,45,1,117,70,187,10,1,0,3,1,0,4,1,Yes,Chosen
NY,10580,105,53,1,117,69,186,10,1,0,4,1,0,3,1,Yes,Chosen
MA,1701,17,25,1,112,52,164,10,1,1,5,0,1,0,2,No,Chosen
CT,6811,68,37,1,108,51,159,10,2,2,2,1,0,0,3,No,Chosen
DE,19713,197,25,1,116,40,156,10,2,1,2,1,1,1,2,No,Chosen
NY,10010,100,25,1,113,42,155,10,1,2,2,2,1,1,1,No,Chosen
NH,3833,38,23,1,110,45,155,10,3,0,4,0,0,1,2,No,Chosen
NY,11236,112,31,1,114,39,153,10,2,1,3,0,1,0,3,No,Chosen
NY,12873,128,35,1,108,44,152,10,4,1,2,0,1,0,2,No,Chosen
NJ,8751,87,27,1,105,45,150,10,2,1,3,3,1,0,0,No,Chosen
NY,11369,113,35,1,114,36,150,10,1,1,3,2,1,0,2,No,Chosen
RI,2881,28,29,1,106,323,429,9,3,0,2,0,1,0,3,No,Chosen
NY,10016,100,21,1,104,324,428,9,2,1,1,0,0,2,3,Yes,Chosen
MA,1036,10,43,1,108,320,428,9,1,0,2,1,2,2,1,No,Chosen
MA,2638,26,29,1,106,311,417,9,4,0,1,3,0,1,0,Yes,Chosen
NJ,8619,86,51,1,114,303,417,9,0,1,4,0,0,1,3,No,Chosen
NJ,7024,70,23,1,104,310,414,9,3,0,1,1,1,2,1,Yes,Chosen
MA,1119,11,41,1,103,311,414,9,1,0,4,2,0,0,2,No,Chosen
MD,21236,212,47,1,93,314,407,9,5,1,3,0,0,0,0,No,Chosen
PA,17403,174,41,1,105,299,404,9,1,1,1,3,0,1,2,No,Chosen
NY,11021,110,33,1,99,304,403,9,2,2,1,0,1,0,3,No,Chosen
NY,10930,109,43,1,105,293,398,9,1,1,1,2,1,2,1,Yes,Chosen
NJ,7675,76,35,1,102,291,393,9,2,0,3,1,1,0,2,Yes,Chosen
NJ,7866,78,31,1,108,284,392,9,2,0,2,1,0,2,2,No,Chosen
NY,11209,112,33,1,95,297,392,9,3,0,5,1,0,0,0,No,Chosen
MD,21236,212,51,1,101,287,388,9,2,0,5,0,1,1,0,No,Chosen
NY,10507,105,23,1,107,279,386,9,2,1,1,1,0,2,2,Yes,Chosen
PA,19002,190,33,1,106,279,385,9,4,1,0,1,0,2,1,Yes,Chosen
NY,11204,112,25,1,105,272,377,9,0,1,4,1,1,0,2,No,Chosen
NY,12110,121,51,1,108,269,377,9,1,0,2,1,0,3,2,Yes,Chosen
PA,19064,190,33,1,97,279,376,9,2,2,3,0,0,0,2,No,Chosen
NJ,7090,70,29,1,98,276,374,9,2,1,2,0,1,3,0,Yes,Chosen
NJ,8824,88,53,1,103,267,370,9,0,2,3,2,0,0,2,No,Chosen
NY,12603,126,35,1,109,257,366,9,0,1,3,1,0,2,2,No,Chosen
NY,11209,112,41,1,98,266,364,9,3,1,1,2,0,2,0,No,Chosen
MA,2125,21,31,1,101,263,364,9,1,1,3,1,1,2,0,Yes,Chosen
NJ,7012,70,25,1,100,262,362,9,2,0,3,1,2,0,1,Yes,Chosen
CT,6902,69,37,1,106,255,361,9,1,1,0,3,1,2,1,No,Chosen
MD,20852,208,21,1,102,258,360,9,1,0,3,2,2,1,0,No,Chosen
NY,12527,125,25,1,102,251,353,9,2,1,1,0,1,3,1,Yes,Chosen
NY,11040,110,23,1,99,242,341,9,2,1,3,1,0,0,2,No,Chosen
MD,21223,212,25,1,90,242,332,9,3,2,3,1,0,0,0,No,Chosen
NJ,7662,76,33,1,96,234,330,9,4,0,1,3,0,0,1,No,Chosen
NJ,8822,88,33,1,106,222,328,9,4,0,2,0,0,2,1,No,Chosen
NJ,7631,76,53,1,106,222,328,9,0,1,4,0,2,0,2,No,Chosen
MA,2130,21,25,1,102,225,327,9,2,1,1,0,2,0,3,Yes,Chosen
NJ,8016,80,19,1,100,226,326,9,2,1,2,2,0,2,0,Yes,Chosen
NJ,7022,70,45,1,96,226,322,9,1,3,3,1,0,0,1,No,Chosen
PA,19008,190,19,1,104,217,321,9,1,0,4,1,1,0,2,No,Chosen
NY,11746,117,35,1,94,226,320,9,1,6,2,0,0,0,0,No,Chosen
NY,11746,117,21,1,100,219,319,9,3,0,4,1,0,1,0,No,Chosen
PA,18372,183,27,1,105,212,317,9,4,0,1,1,1,2,0,No,Chosen
NJ,8533,85,31,1,106,210,316,9,0,1,3,2,1,0,2,No,Chosen
MA,1960,19,39,1,96,219,315,9,2,3,1,0,2,1,0,No,Chosen
NY,10710,107,33,1,96,215,311,9,3,1,2,2,0,0,1,No,Chosen
NY,10940,109,23,1,103,208,311,9,1,1,3,0,2,1,1,Yes,Chosen
NJ,8648,86,27,1,109,199,308,9,1,0,2,1,2,1,2,No,Chosen
NY,10707,107,29,1,103,204,307,9,1,1,2,1,2,2,0,No,Chosen
CT,6040,60,53,1,104,201,305,9,2,1,0,1,1,1,3,Yes,Chosen
PA,19087,190,39,1,107,191,298,9,3,0,1,1,1,0,3,No,Chosen
NJ,7828,78,25,1,107,186,293,9,0,1,2,2,0,1,3,No,Chosen
NJ,7458,74,21,1,104,186,290,9,1,2,2,1,0,1,2,No,Chosen
NJ,7109,71,49,1,107,182,289,9,1,0,3,0,3,0,2,No,Chosen
MD,21221,212,39,1,95,190,285,9,2,1,3,1,2,0,0,No,Chosen
NY,11725,117,53,1,99,169,268,9,2,1,2,2,1,1,0,No,Chosen
MD,20852,208,25,1,107,158,265,9,2,0,2,1,1,1,2,No,Chosen
MD,20906,209,47,1,103,154,257,9,4,0,1,2,1,1,0,No,Chosen
PA,19083,190,47,1,94,158,252,9,3,2,1,2,0,1,0,No,Chosen
NJ,7701,77,31,1,112,136,248,9,0,1,1,0,2,2,3,Yes,Chosen
MA,2635,26,41,1,101,134,235,9,0,2,5,1,1,0,0,No,Chosen
CT,6037,60,47,1,103,128,231,9,2,0,3,1,0,1,2,No,Chosen
CT,6069,60,31,1,100,130,230,9,2,0,2,1,1,3,0,Yes,Chosen
PA,18104,181,41,1,102,125,227,9,3,0,2,1,0,2,1,No,Chosen
PA,18062,180,23,1,100,123,223,9,3,0,2,2,0,1,1,No,Chosen
NY,11704,117,53,1,109,112,221,9,0,1,3,0,2,3,0,Yes,Chosen
MA,2167,21,45,1,105,113,218,9,3,0,3,1,0,0,2,No,Chosen
PA,19116,191,51,1,97,120,217,9,5,1,1,0,2,0,0,No,Chosen
